date,Open,High,Low,OT,Adj Close,Volume
11/18/2019,371,371.75,367.5,367.75,367.75,206268
11/19/2019,367.75,373,367.75,370,370,202015
11/20/2019,369.75,370.5,365.75,366.75,366.75,297024
11/21/2019,366.75,369.75,366.25,368.5,368.5,158701
11/22/2019,368,370.25,367.5,368.75,368.75,228112
11/25/2019,368.75,372.75,368.25,370.5,370.5,199301
11/26/2019,369.75,370.5,367,367.5,367.5,207678
11/27/2019,367.25,368.75,362.25,362.75,362.75,163967
11/29/2019,365.75,372.25,365,371.25,371.25,15512
12/2/2019,371.75,375.5,371,373.5,373.5,6280
12/3/2019,373.75,376,371.5,372,372,4939
12/4/2019,371.75,373.5,367.75,368.75,368.75,2985
12/5/2019,368.5,369.75,365.25,365.5,365.5,3029
12/6/2019,364.75,368.75,364.75,366.5,366.5,960
12/9/2019,366.5,368,365,365.75,365.75,639
12/10/2019,365.75,367,362.5,363.25,363.25,888
12/11/2019,363,363,357,357.75,357.75,259
12/12/2019,358.25,368.75,358.25,367,367,664
12/13/2019,373.75,374.5,366.25,366.25,366.25,230831
12/16/2019,383.5,389.5,383.25,388,388,180896
12/17/2019,387.5,390.5,386.25,390,390,118236
12/18/2019,389.25,390,385.75,387,387,125534
12/19/2019,387,389,385,386.5,386.5,99129
12/20/2019,386.5,389.5,386,387.75,387.75,85326
12/23/2019,388,390.25,387.25,388.75,388.75,82257
12/24/2019,388.5,389,387,387.5,387.5,50416
12/26/2019,388,389,386.5,388.5,388.5,49930
12/27/2019,388,391,388,390,390,85213
12/30/2019,389.25,392,386.75,388.25,388.25,123528
12/31/2019,388.25,389.75,386.25,387.75,387.75,85103
1/2/2020,387.75,392,387.25,391.5,391.5,103987
1/3/2020,391.5,392,385.5,386.5,386.5,125931
1/6/2020,386.25,387.75,382.75,384.75,384.75,112130
1/7/2020,385,385.75,383.5,384.5,384.5,93541
1/8/2020,384,385.5,382.25,384.25,384.25,135523
1/9/2020,383.75,387,382.25,383.25,383.25,130937
1/10/2020,383.25,386.75,376.5,385.75,385.75,226659
1/13/2020,386.5,389.5,385.5,389.5,389.5,139994
1/14/2020,389.25,390.5,388.25,389,389,115957
1/15/2020,388.75,390.25,386.5,387.5,387.5,141478
1/16/2020,387.25,387.75,375.25,375.5,375.5,230557
1/17/2020,377,389.5,376.75,389.25,389.25,293121
1/21/2020,389,389.25,384.25,387.5,387.5,182958
1/22/2020,387.5,391,386.75,388.75,388.75,155603
1/23/2020,388.5,394,387.5,393.75,393.75,256298
1/24/2020,393.25,393.25,386.5,387.25,387.25,196121
1/27/2020,384.25,384.75,377.25,380.5,380.5,264471
1/28/2020,382.5,387,378.5,386.5,386.5,243266
1/29/2020,385.5,388.25,382.75,384.25,384.25,136811
1/30/2020,384.5,385,378.5,379.5,379.5,160206
1/31/2020,381.5,382.75,378.75,381.25,381.25,151805
2/3/2020,380.5,382,376.5,378.75,378.75,216443
2/4/2020,378.25,383.5,378.25,382.25,382.25,176002
2/5/2020,381.5,383.25,379.5,380.75,380.75,122103
2/6/2020,380.25,381.75,376,379.25,379.25,191891
2/7/2020,380.25,385,380,383.5,383.5,256721
2/10/2020,383.25,383.5,379,381.75,381.75,219017
2/11/2020,381,382,378,379.75,379.75,200407
2/12/2020,379.75,383.75,378.25,383,383,241461
2/13/2020,382.25,382.75,379,379.5,379.5,202459
2/14/2020,379.5,381.5,376.25,377.75,377.75,216864
2/18/2020,378.5,383.25,378,383,383,215110
2/19/2020,382.25,382.75,378.5,380.5,380.5,172265
2/20/2020,380.75,381.25,378,378.5,378.5,173142
2/21/2020,378.25,380.5,376.25,377,377,169068
2/24/2020,376.25,376.25,370,372.25,372.25,170528
2/25/2020,373,374.75,371.25,372.5,372.5,119868
2/26/2020,372,374,368.25,370.5,370.5,268795
2/27/2020,369.75,370,361.75,364.5,364.5,156142
2/28/2020,364.5,367.25,362.75,366.5,366.5,18809
3/2/2020,366.5,375.75,366,374.75,374.75,6092
3/3/2020,375.75,383.75,375.75,381.75,381.75,3194
3/4/2020,382,388.5,380,387,387,3275
3/5/2020,387.5,387.5,382,384.5,384.5,1830
3/6/2020,383.75,385.5,377,377.25,377.25,1277
3/9/2020,372,377.5,368.5,374.25,374.25,921
3/10/2020,379,381.5,377.5,380,380,605
3/11/2020,380.25,380.5,377,379.25,379.25,942
3/12/2020,377.5,377.5,367,369.75,369.75,342
3/13/2020,370,375.5,370,370.75,370.75,191029
3/16/2020,362.5,367.75,354,354.75,354.75,188791
3/17/2020,355.25,356.75,342.75,344,344,219215
3/18/2020,344,345.25,332,335.25,335.25,255105
3/19/2020,336.5,354.75,336.5,345.5,345.5,223252
3/20/2020,346.5,356.75,342.25,343.75,343.75,189068
3/23/2020,340.25,345.5,338.25,343.5,343.5,114729
3/24/2020,343.5,350.5,338,347.25,347.25,126658
3/25/2020,347.5,352.75,345.75,348.5,348.5,118826
3/26/2020,348.25,349.25,343.75,348.75,348.75,113530
3/27/2020,348.5,350,342.5,346,346,114028
3/30/2020,343,346.75,340,341.25,341.25,108485
3/31/2020,341.75,344.75,333.5,340.75,340.75,208191
